id,title,slug,status,language,runtime,timestamp,category,tagName,tagSlug,problemsSolved
1853674747,Increasing Triplet Subsequence,increasing-triplet-subsequence,Accepted,python3,14 ms,1765537402,,,,
1853673986,Increasing Triplet Subsequence,increasing-triplet-subsequence,Runtime Error,python3,,1765537319,,,,
1852887307,The Number of Employees Which Report to Each Employee,the-number-of-employees-which-report-to-each-employee,Accepted,mysql,608 ms,1765456302,,,,
1851978553,Top Travellers,top-travellers,Accepted,mysql,736 ms,1765368197,,,,
1851030401,Complete Prime Number,complete-prime-number,Accepted,python3,0 ms,1765279659,,,,
1851008442,Number of Zero-Filled Subarrays,number-of-zero-filled-subarrays,Accepted,python3,26 ms,1765277632,,,,
1850201687,Count Square Sum Triples,count-square-sum-triples,Accepted,python3,147 ms,1765202815,,,,
1849357796,Count Odd Numbers in an Interval Range,count-odd-numbers-in-an-interval-range,Accepted,python3,41 ms,1765118596,,,,
1848385117,Rotate Array,rotate-array,Accepted,python3,11 ms,1765031781,,,,
1848295800,Count Partitions With Max-Min Difference at Most K,count-partitions-with-max-min-difference-at-most-k,Accepted,python3,467 ms,1765023103,,,,
1847577459,Customers Who Bought All Products,customers-who-bought-all-products,Accepted,mysql,524 ms,1764935932,,,,
1847535694,Count Partitions with Even Sum Difference,count-partitions-with-even-sum-difference,Accepted,python3,0 ms,1764931346,,,,
1847534131,Count Partitions with Even Sum Difference,count-partitions-with-even-sum-difference,Accepted,python3,0 ms,1764931182,,,,
1845643483,Biggest Single Number,biggest-single-number,Accepted,mysql,404 ms,1764741875,,,,
1845626744,Find Followers Count,find-followers-count,Accepted,mysql,568 ms,1764740530,,,,
1845626223,Find Followers Count,find-followers-count,Runtime Error,mysql,,1764740488,,,,
1845625520,Find Followers Count,find-followers-count,Wrong Answer,mysql,,1764740426,,,,
1845625380,Find Followers Count,find-followers-count,Wrong Answer,mysql,,1764740413,,,,
1844846886,Classes With at Least 5 Students,classes-with-at-least-5-students,Accepted,mysql,345 ms,1764663896,,,,
1844806877,Product Sales Analysis III,product-sales-analysis-iii,Accepted,mysql,707 ms,1764660080,,,,
1844806472,Product Sales Analysis III,product-sales-analysis-iii,Wrong Answer,mysql,,1764660048,,,,
1844801021,Product Sales Analysis III,product-sales-analysis-iii,Wrong Answer,mysql,,1764659566,,,,
1844800523,Product Sales Analysis III,product-sales-analysis-iii,Wrong Answer,mysql,,1764659526,,,,
1844782967,User Activity for the Past 30 Days I,user-activity-for-the-past-30-days-i,Accepted,mysql,484 ms,1764658157,,,,
1844749655,Number of Unique Subjects Taught by Each Teacher,number-of-unique-subjects-taught-by-each-teacher,Accepted,mysql,525 ms,1764655674,,,,
1844740835,Game Play Analysis IV,game-play-analysis-iv,Accepted,mysql,519 ms,1764655013,,,,
1844738737,Game Play Analysis IV,game-play-analysis-iv,Accepted,mysql,511 ms,1764654854,,,,
1844736677,Game Play Analysis IV,game-play-analysis-iv,Accepted,mysql,493 ms,1764654696,,,,
1844022216,Immediate Food Delivery II,immediate-food-delivery-ii,Accepted,mysql,616 ms,1764581805,,,,
1844022031,Immediate Food Delivery II,immediate-food-delivery-ii,Runtime Error,mysql,,1764581787,,,,
1844021957,Immediate Food Delivery II,immediate-food-delivery-ii,Accepted,mysql,611 ms,1764581780,,,,
1842461751,Monthly Transactions I,monthly-transactions-i,Accepted,mysql,587 ms,1764420077,,,,
1842448285,Queries Quality and Percentage,queries-quality-and-percentage,Accepted,mysql,321 ms,1764418604,,,,
1842312152,Percentage of Users Attended a Contest,percentage-of-users-attended-a-contest,Accepted,mysql,1249 ms,1764403631,,,,
1842255173,Project Employees I,project-employees-i,Accepted,mysql,568 ms,1764397812,,,,
1842247908,Not Boring Movies,not-boring-movies,Accepted,mysql,227 ms,1764397155,,,,
1841942995,Confirmation Rate,confirmation-rate,Accepted,mysql,726 ms,1764352155,,,,
1840900062,Contains Duplicate,contains-duplicate,Accepted,python,24 ms,1764235425,,,,
1840807707,Students and Examinations,students-and-examinations,Accepted,mysql,968 ms,1764225552,,,,
1840796281,Employee Bonus,employee-bonus,Accepted,mysql,897 ms,1764224514,,,,
1840793578,Employee Bonus,employee-bonus,Wrong Answer,mysql,,1764224266,,,,
1840786415,Average Time of Process per Machine,average-time-of-process-per-machine,Accepted,mysql,528 ms,1764223607,,,,
1840785152,Average Time of Process per Machine,average-time-of-process-per-machine,Wrong Answer,mysql,,1764223487,,,,
1840784818,Average Time of Process per Machine,average-time-of-process-per-machine,Wrong Answer,mysql,,1764223454,,,,
1840051630,Rising Temperature,rising-temperature,Accepted,mysql,599 ms,1764142031,,,,
1840027427,Customer Who Visited but Did Not Make Any Transactions,customer-who-visited-but-did-not-make-any-transactions,Accepted,mysql,1254 ms,1764139770,,,,
